file_id,analysis_id,sample_id,inchikey,smiles_canonical,instrument,x_min,x_max,n_points,resolution,is_multifragment,has_unusual_elements,sampling_procedure,split,x_min_cm,x_max_cm
C3073561_0,C3073561_0,C3073561,KFIBJZAPFOKDKB-UHFFFAOYSA-N,CC(=O)NCC(C)NC(C)=O,DOW KBr FOREPRISM-GRATING,456.0,3800.0,3345,2,False,False,TRANSMISSION,confirm,456.0,3800.0
C30752193_0,C30752193_0,C30752193,GKLMJONYGGTHHM-UHFFFAOYSA-N,CCCCCCOc1ccc(Br)cc1,PERKIN-ELMER,648.0629398727204,4911.591355599214,2021,4,False,False,TRANSMISSION,confirm,650.0,4000.0
C30826836_0,C30826836_0,C30826836,GEDLJMYPQDMOSM-UHFFFAOYSA-N,CCCCN1CCN(CCCC)C1=S,PERKIN-ELMER,648.4958139595209,4856.726566294317,2000,4,False,False,TRANSMISSION,confirm,650.0,4000.0
C3085425_0,C3085425_0,C3085425,KJGYFISADIZFEL-UHFFFAOYSA-N,O=S(c1ccc(Cl)cc1)c1ccc(Cl)cc1,"Not specified, most likely a prism, grating, or hybrid spect",627.8725167641962,4885.1978505129455,2078,4,False,False,TRANSMISSION,confirm,628.0,4000.0
C3088413_0,C3088413_0,C3088413,YZICFVIUVMCCOC-UHFFFAOYSA-N,N#CCCN1CCCCC1,"Not specified, most likely a prism, grating, or hybrid spect",628.7568220115188,4916.420845624386,2025,4,False,False,TRANSMISSION,confirm,630.0,4000.0
C3088786_0,C3088786_0,C3088786,RHPOAOZKVCLNPE-UHFFFAOYSA-N,CCCCCCCCCB(O)O,"Not specified, most likely a grating spectrometer.",656.318708364782,4933.399111988159,1957,4,False,False,TRANSMISSION,confirm,658.0,4000.0
C3089063_0,C3089063_0,C3089063,UTIXLFNFNVZQOQ-UHFFFAOYSA-N,C[Si](O)(O[Si](C)(O)c1ccccc1)c1ccccc1,PERKIN-ELMER 521 (GRATING),252.958,3805.86,3867,2,False,False,TRANSMISSION,confirm,400.0,3804.0
C3090479_0,C3090479_0,C3090479,PQZMLJBZPCMYDX-UHFFFAOYSA-N,Oc1ccc(O)c2c1C1C=CC2C1,"Not specified, most likely a prism, grating, or hybrid spect",624.4809002516657,5000.0,2106,4,False,False,TRANSMISSION,confirm,626.0,4000.0
C309182_0,C309182_0,C309182,AOZYFDLPICIRLC-UHFFFAOYSA-N,O=C(NC(CO)C(O)c1ccc(S(=O)(=O)C(F)(F)F)cc1)C(Cl)Cl,PERKIN-ELMER 21 (GRATING),655.1319763366331,4957.85820525533,2709,2,False,False,TRANSMISSION,confirm,656.0,4000.0
C309239_0,C309239_0,C309239,UEOPJKJKJBWUIQ-UHFFFAOYSA-N,CCCCOC(=O)C(Cl)(Cl)C(F)(F)F,BAIRD (GRATING),626.0,4000.0,3375,2,False,False,TRANSMISSION,confirm,626.0,4000.0
C309267990_0,C309267990_0,C309267990,JQIYNMYZKRGDFK-UHFFFAOYSA-N,CCC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC(=O)CC)CCC12,PERKIN-ELMER 21 (GRATING),669.0,4000.0,3332,2,False,False,TRANSMISSION,confirm,670.0,4000.0
