file_id,analysis_id,sample_id,inchikey,smiles_canonical,instrument,x_min,x_max,n_points,resolution,is_multifragment,has_unusual_elements,sampling_procedure,split
96498861-f333-4e2e-a94b-4d09356b3cfe,614694,74500,MKRBRLWZSNAOKA-UHFFFAOYSA-N,CN(C)c1nc2ccccc2n2nnnc12,Bruker Alpha ATR,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
965053ce-b630-4595-81fa-010dd9278029,499288,43914,FICFLYUZQXNMNJ-MMWZJYQFSA-N,CO[C@@H]1O[C@@H](C)/C(=N/O)[C@@]2(C)OC(C)(C)O[C@@H]12,Bruker ALPHA,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
9676abd5-e44f-499f-8db5-f1f4bc7226aa,552298,55585,CFLDWDVCLODTOS-UHFFFAOYSA-N,Cc1cc(-c2ccc(C(=O)OC(C)C)cc2)c(C)cc1-c1ccc(C(=O)OC(C)C)cc1,Bruker Alpha ATR,373.82813,3997.4121,2560,4.0,False,False,ATR platinum Diamond 1 Refl,confirm
9681395e-3ec0-4248-8746-19d629785d2b,507709,46047,KEJBDGQLLLLBGE-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(-c2nc3ccccc3s2)cc1,BRUKER ALPHA,373.82813,3997.4121,2560,4.0,False,False,ATR platinum Diamond 1 Refl,confirm
9686b752-10b6-4f35-9203-74c0bdb0f5d7,501208,44394,YBLFMGLCEGWHHM-UHFFFAOYSA-N,CCCOc1cc(OC)c(C=O)c(OC)c1,Bruker ALPHA,373.96442,3997.453,2559,4.0,False,False,ATR platinum Diamond 1 Refl,confirm
96b36bd6-16bd-40cd-88c3-3c59f14b2d00,659898,84339,RPXBXBSPFPVZAQ-UHFFFAOYSA-N,O=C(N(Cc1ccccc1C(F)(F)F)c1ccccc1C#Cc1ccccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Bruker Alpha-P ATR,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
96c6421d-f9e9-495b-b838-aa7a272a1283,499784,44038,VGLDSUNITVXWKT-UHFFFAOYSA-N,O=C1CCCC2Oc3ccc(-c4cccc5cccnc45)cc3C=C12,Bruker ALPHA,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,dev
96fc40cf-cf12-4b2b-8270-d96653600a80,640075,79718,KYBSMJXYYGCINL-WCWDXBQESA-N,CCCCCCCCOc1nc2ccccc2nc1/C=C/c1nc2cc(-c3ccccc3)c(-c3ccccc3)cc2nc1C,Bruker Alpha ATR,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
971a2f11-db56-46a7-a255-bbeff379402c,647057,81442,VSSFGRBIDNAUHK-UHFFFAOYSA-N,Brc1nc2ccccc2nc1-c1ccccc1,Bruker Alpha ATR,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
9735ccc7-498b-4db6-90f9-eb3da4abde24,501960,44582,KDLKNWUPOAEMBF-CWBXHPNXSA-N,O=C(O)CC[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC1=O,Bruker ALPHA,399.65625,3996.5625,1765,4.0,False,False,Instrument type and / or accessory,confirm
973e1ff7-ad8c-430c-8648-22d114344254,501752,44530,CXILEJFXOWTLBU-UHFFFAOYSA-N,CCCCCCC(C)(O)c1cc(OC)cc(OC)c1,Bruker ALPHA,373.96442,3997.453,2559,4.0,False,False,ATR platinum Diamond 1 Refl,confirm
9742a368-6798-4100-8661-06a9e4b8896d,646036,81191,SYCBJNJMQAGHIB-UHFFFAOYSA-N,CN1CCN(C)C1=Nc1cccc2c(N(C)C)ccnc12,Perkin Elmer BX FT-IR,249.7859,4000.433,3890,,False,False,,confirm
976acdca-433b-450e-87b2-00881e9508d0,501380,44437,UFOHWFDKFHWJDJ-UHFFFAOYSA-N,O=C(C1=CCCC=CCC1)c1ccc2ccccc2c1,Bruker ALPHA,373.96442,3997.453,2559,4.0,False,False,ATR platinum Diamond 1 Refl,dev
977e2140-f2a2-48e7-adc7-58019ffe69dc,500264,44158,WFRWNHBDJUUYCS-UHFFFAOYSA-N,CCCCn1nc(NC(=O)C23CC4CC(CC(C4)C2)C3)c2cccc(C(F)(F)F)c21,Bruker ALPHA,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
9780d61d-f47a-43f6-8692-dfeb3a63ff5d,630872,77835,VVNPRYRWMNIXCI-UHFFFAOYSA-N,Nc1nc2ccccc2nc1OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Bruker Alpha ATR,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
9792c8e9-6c98-412a-8d14-8e8305212b43,499512,43970,NDOSNRLQNYYVKV-UHFFFAOYSA-N,CC(=O)c1ccn(S(=O)(=O)c2ccc(C)cc2)c1,Bruker ALPHA,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
97966dfd-d3c8-4318-88d9-8ba9e90f913e,631828,78011,QJGWDEWFFPKFQG-UHFFFAOYSA-N,COC(=O)c1ccc(P(=O)(OC)OC)cc1,Bruker Alpha ATR,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
97a362fa-5190-4d7a-bd1b-d22a857ad19e,501176,44386,CMXCPSJVAROIQE-UHFFFAOYSA-N,CCCCCCCOc1cc(O)c(C=O)c(OC)c1,Bruker ALPHA,373.96442,3997.453,2559,4.0,False,False,ATR platinum Diamond 1 Refl,confirm
97a9e641-b780-4bf6-9495-30f9f2f02a2c,594248,68583,MGTQLOOLBARGGW-UHFFFAOYSA-N,C1=Cc2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1nc(c(-c3ccccc3-c3c4nc(c(-c5ccccc5)c5ccc([nH]5)c(-c5ccccc5-c5c6nc(c(-c7ccccc7)c7ccc([nH]7)c(-c7ccccc7)c7nc(c(-c8ccccc8)c8ccc5[nH]8)C=C7)C=C6)c5nc(c(-c6ccccc6)c6ccc3[nH]6)C=C5)C=C4)c3ccc([nH]3)c2-c2ccccc2)C=C1,IR,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
97d8611a-d050-4b8f-b1fb-9ab012edc8b2,658741,84096,VHSSPBJSZZJRPU-UHFFFAOYSA-L,CN1CCN(C)C1=NC1CCCc2cccnc21.[Cl][Zn][Cl],Shimadzu IRTracer 100,249.7859,4000.433,3890,,True,True,,confirm
97da2466-1de4-48f4-8055-c033453ea2fa,612403,73853,ZZFUHQXQLNLLCA-UHFFFAOYSA-N,CC(C)(C)OC(=O)NCC(n1cccn1)n1cccn1,Shimadzu IRTracer 100,400.2361,4000.433,3734,,False,False,,confirm
97db55e8-6770-47cc-b8ff-0545011c88d9,495072,42859,VQEGCJLHLBTWRF-UDWIEESQSA-N,CO/N=C/c1c2ccc(c1Br)CCc1ccc(cc1)CC2,Bruker Alpha,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
97df56b8-4748-40db-9e2b-f95365d585e6,550967,55384,CYVQCLLXOPONSH-GAJHUEQPSA-N,CC1=CC[C@]2(C(=O)c3cc(NC(=O)C(F)(F)F)ccc3Br)C(=O)c3ccccc3C(=O)[C@@H]2C1,Bruker Alpha,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
97e915d7-8ddb-4394-a57a-aece0e74b6cc,502216,44646,DHWWIODBWJXCME-UHFFFAOYSA-N,CCCc1cc2c(OC)cc(OCC)cc2oc1=O,Bruker ALPHA,399.65625,3996.5625,1765,4.0,False,False,Instrument type and / or accessory,confirm
97f1e692-61c6-44d1-a31c-f3c89438834c,500432,44200,DPRULTZUGLDCPZ-UHFFFAOYSA-N,[N-]=[N+]=NCCOCCOCCOCCOCCOCCO,Bruker ALPHA,373.96442,3997.453,2559,4.0,False,False,Diamant-ATR,confirm
