rule_id,stratum,tier,group,truth_group,wn_min,wn_max,rule_intensity,rule_shape,requires,forbids,prominence,definition,n,n_pos,prevalence,TP,FP,FN,TN,sensitivity,specificity,PPV,NPV,LR_pos,LR_pos_lo,LR_pos_hi,LR_pos_boot_lo,LR_pos_boot_hi,LR_neg,LR_neg_lo,LR_neg_hi,underpowered,fp_enriched_groups
SMITH-BR4-CH2-ASYM,main,group,methylene,methylene,2916.0,2936.0,any,any,,,0.01,position,1539,1007,0.654,755,284,252,248,0.75,0.466,0.727,0.496,1.4,1.29,1.53,,,0.54,0.47,0.62,False,
SMITH-BR4-CH2-ASYM,main,group,methylene,methylene,2916.0,2936.0,any,any,,,0.01,+intensity,1539,1007,0.654,755,284,252,248,0.75,0.466,0.727,0.496,1.4,1.29,1.53,,,0.54,0.47,0.62,False,
SMITH-BR4-CH2-ASYM,main,group,methylene,methylene,2916.0,2936.0,any,any,,,0.01,+shape,1539,1007,0.654,755,284,252,248,0.75,0.466,0.727,0.496,1.4,1.29,1.53,,,0.54,0.47,0.62,False,
SMITH-BR4-CH2-ASYM,main,group,methylene,methylene,2916.0,2936.0,any,any,,,0.02,position,1539,1007,0.654,697,218,310,314,0.692,0.59,0.762,0.503,1.69,1.51,1.89,,,0.52,0.46,0.59,False,
SMITH-BR4-CH2-ASYM,main,group,methylene,methylene,2916.0,2936.0,any,any,,,0.02,+intensity,1539,1007,0.654,697,218,310,314,0.692,0.59,0.762,0.503,1.69,1.51,1.89,,,0.52,0.46,0.59,False,
SMITH-BR4-CH2-ASYM,main,group,methylene,methylene,2916.0,2936.0,any,any,,,0.02,+shape,1539,1007,0.654,697,218,310,314,0.692,0.59,0.762,0.503,1.69,1.51,1.89,1.42,1.96,0.52,0.46,0.59,False,aromatics OR=3.5 (n=217); alcohol_secondary OR=3.1 (n=11); alkane OR=2.3 (n=87)
SMITH-BR4-CH2-ASYM,main,group,methylene,methylene,2916.0,2936.0,any,any,,,0.05,position,1539,1007,0.654,585,128,422,404,0.581,0.759,0.82,0.489,2.41,2.06,2.83,,,0.55,0.51,0.6,False,
SMITH-BR4-CH2-ASYM,main,group,methylene,methylene,2916.0,2936.0,any,any,,,0.05,+intensity,1539,1007,0.654,585,128,422,404,0.581,0.759,0.82,0.489,2.41,2.06,2.83,,,0.55,0.51,0.6,False,
SMITH-BR4-CH2-ASYM,main,group,methylene,methylene,2916.0,2936.0,any,any,,,0.05,+shape,1539,1007,0.654,585,128,422,404,0.581,0.759,0.82,0.489,2.41,2.06,2.83,,,0.55,0.51,0.6,False,
SMITH-BR4-CH2-ASYM,main,group,methylene,methylene,2916.0,2936.0,any,any,,,0.1,position,1539,1007,0.654,463,74,544,458,0.46,0.861,0.862,0.457,3.31,2.65,4.13,,,0.63,0.59,0.67,False,
SMITH-BR4-CH2-ASYM,main,group,methylene,methylene,2916.0,2936.0,any,any,,,0.1,+intensity,1539,1007,0.654,463,74,544,458,0.46,0.861,0.862,0.457,3.31,2.65,4.13,,,0.63,0.59,0.67,False,
SMITH-BR4-CH2-ASYM,main,group,methylene,methylene,2916.0,2936.0,any,any,,,0.1,+shape,1539,1007,0.654,463,74,544,458,0.46,0.861,0.862,0.457,3.31,2.65,4.13,,,0.63,0.59,0.67,False,
SMITH-BR4-CH2-SYM,main,group,methylene,methylene,2845.0,2865.0,any,any,,,0.01,position,1539,1007,0.654,490,186,517,346,0.487,0.65,0.725,0.401,1.39,1.22,1.59,,,0.79,0.72,0.86,False,
SMITH-BR4-CH2-SYM,main,group,methylene,methylene,2845.0,2865.0,any,any,,,0.01,+intensity,1539,1007,0.654,490,186,517,346,0.487,0.65,0.725,0.401,1.39,1.22,1.59,,,0.79,0.72,0.86,False,
SMITH-BR4-CH2-SYM,main,group,methylene,methylene,2845.0,2865.0,any,any,,,0.01,+shape,1539,1007,0.654,490,186,517,346,0.487,0.65,0.725,0.401,1.39,1.22,1.59,,,0.79,0.72,0.86,False,
SMITH-BR4-CH2-SYM,main,group,methylene,methylene,2845.0,2865.0,any,any,,,0.02,position,1539,1007,0.654,425,108,582,424,0.422,0.797,0.797,0.421,2.08,1.73,2.5,,,0.73,0.68,0.78,False,
SMITH-BR4-CH2-SYM,main,group,methylene,methylene,2845.0,2865.0,any,any,,,0.02,+intensity,1539,1007,0.654,425,108,582,424,0.422,0.797,0.797,0.421,2.08,1.73,2.5,,,0.73,0.68,0.78,False,
SMITH-BR4-CH2-SYM,main,group,methylene,methylene,2845.0,2865.0,any,any,,,0.02,+shape,1539,1007,0.654,425,108,582,424,0.422,0.797,0.797,0.421,2.08,1.73,2.5,1.42,3.44,0.73,0.68,0.78,False,aromatics OR=4.4 (n=108); aromatic_meta OR=3.3 (n=11); ether_saturated OR=2.5 (n=3)
SMITH-BR4-CH2-SYM,main,group,methylene,methylene,2845.0,2865.0,any,any,,,0.05,position,1539,1007,0.654,341,30,666,502,0.339,0.944,0.919,0.43,6.01,4.2,8.59,,,0.7,0.67,0.74,False,
SMITH-BR4-CH2-SYM,main,group,methylene,methylene,2845.0,2865.0,any,any,,,0.05,+intensity,1539,1007,0.654,341,30,666,502,0.339,0.944,0.919,0.43,6.01,4.2,8.59,,,0.7,0.67,0.74,False,
SMITH-BR4-CH2-SYM,main,group,methylene,methylene,2845.0,2865.0,any,any,,,0.05,+shape,1539,1007,0.654,341,30,666,502,0.339,0.944,0.919,0.43,6.01,4.2,8.59,,,0.7,0.67,0.74,False,
SMITH-BR4-CH2-SYM,main,group,methylene,methylene,2845.0,2865.0,any,any,,,0.1,position,1539,1007,0.654,213,13,794,519,0.212,0.976,0.942,0.395,8.66,4.99,15.0,,,0.81,0.78,0.84,False,
SMITH-BR4-CH2-SYM,main,group,methylene,methylene,2845.0,2865.0,any,any,,,0.1,+intensity,1539,1007,0.654,213,13,794,519,0.212,0.976,0.942,0.395,8.66,4.99,15.0,,,0.81,0.78,0.84,False,
SMITH-BR4-CH2-SYM,main,group,methylene,methylene,2845.0,2865.0,any,any,,,0.1,+shape,1539,1007,0.654,213,13,794,519,0.212,0.976,0.942,0.395,8.66,4.99,15.0,,,0.81,0.78,0.84,False,
SMITH-BR4-CH3-UMBRELLA,main,group,methyl,methyl,1365.0,1385.0,any,any,,,0.01,position,1539,1069,0.695,707,161,362,309,0.661,0.657,0.815,0.461,1.93,1.69,2.2,,,0.52,0.46,0.57,False,
SMITH-BR4-CH3-UMBRELLA,main,group,methyl,methyl,1365.0,1385.0,any,any,,,0.01,+intensity,1539,1069,0.695,707,161,362,309,0.661,0.657,0.815,0.461,1.93,1.69,2.2,,,0.52,0.46,0.57,False,
SMITH-BR4-CH3-UMBRELLA,main,group,methyl,methyl,1365.0,1385.0,any,any,,,0.01,+shape,1539,1069,0.695,707,161,362,309,0.661,0.657,0.815,0.461,1.93,1.69,2.2,,,0.52,0.46,0.57,False,
SMITH-BR4-CH3-UMBRELLA,main,group,methyl,methyl,1365.0,1385.0,any,any,,,0.02,position,1539,1069,0.695,654,137,415,333,0.612,0.709,0.827,0.445,2.1,1.81,2.44,,,0.55,0.5,0.6,False,
