id,index,status,phase,state_text,bytes
C22354138,0,ok,condensed,SOLID (0.8 mg / 650 mg KBr DISC),30966
C22354138,1,end,,,0
C57136,0,ok,condensed,"SOLID (SPLIT MULL, FLUOROLUBE FOR 3800-1333 AND NUJOL FOR 1333-450 CM ^-^1)",37827
C57136,1,ok,condensed,solid,153737
C57136,2,end,,,0
C1758732,0,ok,condensed,"SOLID (SPLIT MULL), FLUOROLUBE FOR 3800-1330 CM^-^1, NUJOL FOR 1330-400 CM^-^1",33433
C1758732,1,end,,,0
C1762954,0,ok,condensed,SOLID (NUJOL AND FLUOROLUBE MULLS),19088
C1762954,1,end,,,0
C67561,0,ok,gas,GAS (VAPOR),25168
C67561,1,ok,gas,"GAS (70 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",34376
C67561,2,ok,condensed,"SOLUTION (2% IN CCl4 FOR 3800-1330, 2% IN CS2 FOR 1330-400 CM^-^1) VS SOLVENT",37575
C67561,3,ok,gas,gas,34218
C67561,4,ok,gas,gas,67646
C503402,0,ok,condensed,SOLID (KBr PELLET),18475
C503402,1,end,,,0
C124583,0,ok,condensed,SOLID (MULL),19867
C124583,1,end,,,0
C506898,0,ok,condensed,SOLID (COCONITRILE MULL),19763
C74895,0,ok,gas,gas,4917
C74895,1,end,,,0
C18264750,0,ok,condensed,SOLID (MINERAL OIL MULL),19301
C18264750,1,end,,,0
C1066337,0,ok,condensed,SOLID (NUJOL MULL),19196
C993135,0,ok,unknown,,604
C993135,1,ok,condensed,"SOLID (SPLIT MULL), FLUOROLUBE FOR 3800-1330 CM^-^1, NUJOL FOR 1330-400 CM^-^1; (DRY BOX UNDER N2)",33161
C993135,2,end,,,0
C593511,0,ok,condensed,SOLID (KBr DISC),32298
C593511,1,end,,,0
C50011,0,ok,condensed,solid,152125
C50011,1,end,,,0
C563417,0,ok,condensed,SOLID (KBr DISC),32253
C563417,1,end,,,0
C593566,0,ok,condensed,SOLID (MINERAL OIL MULL),18940
C593566,1,end,,,0
C992949,0,ok,gas,"GAS (22 mmHg, TO 750 mmHg WITH N2 DILUTION)",34191
C992949,1,ok,gas,"GAS (22 mmHg, N2 ADDED, TOTAL PRESSURE 750 mmHg)",25121
C124481,0,ok,gas,gas,3995
C124481,1,end,,,0
C1868537,0,ok,gas,GAS (100 mmHg DILUTED TO ATMOSPHERIC PRESSURE WITH N2),38206
C1868537,1,ok,gas,"GAS (100 mmHg, N2 ADDED, TOTAL PRESSURE = ATMOSPHERIC RESSURE)",26764
C1868537,2,ok,condensed,"SOLUTION (10% CCl4 FOR 5000-1330, 10% CS2 FOR 1330-625 CM^-^1)",18959
C1868537,3,end,,,0
C75252,0,ok,gas,gas,3939
C75252,1,ok,condensed,LIQUID (NEAT),32666
C75252,2,end,,,0
C75274,0,ok,gas,gas,4023
C75274,1,ok,gas,GAS (50 mmHg DILUTED TO A TOTAL PRESSURE OF 600 mmHg WITH N2),33903
C75274,2,end,,,0
C75434,0,ok,gas,gas,3804
C75434,1,end,,,0
C67663,0,ok,gas,gas,3899
C67663,1,ok,gas,"GAS (50 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32195
C67663,2,ok,condensed,LIQUID (NEAT),37144
C67663,3,ok,gas,gas,28673
C67663,4,ok,gas,gas,56294
C67663,5,ok,gas,gas,111767
C67663,6,ok,gas,gas,223808
C67663,7,ok,gas,gas,449493
C67663,8,ok,gas,gas,28649
C67663,9,ok,gas,gas,56250
C67663,10,ok,gas,gas,111542
C41197299,0,ok,gas,gas,13806
C41197299,1,end,,,0
C75456,0,ok,gas,gas,3999
C75456,1,end,,,0
C75467,0,ok,gas,gas,4133
C75467,1,end,,,0
C75478,0,ok,gas,gas,4143
C75478,1,end,,,0
C74908,0,ok,unknown,,594
C74908,1,end,,,0
C497198,0,ok,unknown,,598
C630080,0,ok,gas,gas,4275
C630080,1,ok,gas,GAS (400 mmHg DILUTED TO A TOTAL PRESSURE OF 600 mmHg WITH N2),34520
C630080,2,end,,,0
C124389,0,ok,gas,gas,4324
C124389,1,ok,gas,GAS (200 mmHg DILUTED TO A TOTAL PRESSURE OF 600 mmHg WITH N2),34456
C463581,0,ok,gas,GAS (100 mmHg DILUTED TO A TOTAL PRESSURE OF 600 mmHg WITH N2),34466
C463581,1,ok,gas,"GAS (100 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",24327
C463581,2,end,,,0
C75150,0,ok,gas,gas,4731
C75150,1,ok,gas,"GAS (100 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32334
C75150,2,ok,condensed,LIQUID (NEAT),37257
C75150,3,ok,condensed,LIQUID (NEAT),36890
C75150,4,end,,,0
C421692,0,ok,condensed,"SOLUTION (10% CCl4 FOR 5000-1330, 10% CS2 FOR 1330-625 CM^-^1)",19181
C421692,1,end,,,0
C630251,0,ok,condensed,"SOLUTION (10% IN CCl4 FOR 3800-1400, 10% IN CS2 FOR 1400-650, 10% IN CCl4 FOR 650-420 CM^-^1)",34795
C630251,1,end,,,0
C124732,0,ok,gas,gas,3809
C124732,1,ok,condensed,"SOLUTION (10% CCl4 FOR 5000-1330, 10% CS2 FOR 1330-625 CM^-^1)",19074
C124732,2,end,,,0
C6698744,0,ok,condensed,"SOLUTION (10% CCl4 FOR 5000-1330, 10% CS2 FOR 1330-625 CM^-^1)",19056
C6698744,1,end,,,0
C79287,0,ok,gas,gas,4192
C79287,1,end,,,0
C76142,0,ok,gas,gas,3731
C76142,1,ok,gas,GAS (6.5 mmHg DILUTED TO A TOTAL PRESSURE OF 600 mmHg WITH N2),34986
C76142,2,ok,gas,"GAS (6.5 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",23683
C76142,3,end,,,0
C353822,0,ok,gas,"GAS (100 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32225
C353822,1,ok,condensed,"SOLUTION (10% CCl4 FOR 5000-1330, 10% CS2 FOR 1330-625 CM^-^1)",19061
C359295,0,ok,gas,"GAS (60 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32659
C359295,1,end,,,0
C76131,0,ok,gas,gas,3746
C76131,1,ok,gas,"GAS (100 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32860
C76131,2,ok,condensed,"SOLUTION (10% CCl4 FOR 5000-1330, 10% CS2 FOR 1330-625 CM^-^1)",19193
C76131,3,end,,,0
C354585,0,ok,gas,gas,3702
C545062,0,ok,gas,gas,3685
C545062,1,ok,gas,"GAS (60 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32325
C545062,2,ok,condensed,"SOLUTION (10% CCl4 FOR 5000-1330, 10% CS2 FOR 1330-625 CM^-^1)",19056
C545062,3,end,,,0
C127184,0,ok,gas,gas,3959
C127184,1,ok,gas,"GAS (13 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32300
C127184,2,ok,condensed,"SOLUTION (10% IN CCl4 FOR 3800-1300, AND 10% IN CS2 FOR 1300-650 CM^-^1) VERSUS SOLVENT",31208
C127184,3,ok,unknown,TRANSMISSION,12989
C127184,4,ok,gas,gas,30341
C127184,5,ok,gas,gas,59692
C127184,6,ok,gas,gas,118249
C127184,7,ok,gas,gas,235234
C127184,8,ok,gas,gas,468396
C127184,9,ok,gas,gas,30363
C127184,10,ok,gas,gas,59708
C127184,11,ok,gas,gas,118471
C127184,12,ok,gas,gas,235813
C127184,13,ok,gas,gas,469960
C127184,14,ok,gas,gas,30317
C127184,15,ok,gas,gas,59654
C127184,16,ok,gas,gas,118242
C127184,17,ok,gas,gas,235500
C127184,18,ok,gas,gas,469642
C127184,19,ok,gas,gas,30317
C127184,20,ok,gas,gas,59637
C127184,21,ok,gas,gas,118266
C127184,22,ok,gas,gas,235561
C127184,23,ok,gas,gas,469808
C127184,24,ok,gas,gas,30317
C127184,25,ok,gas,gas,59656
C127184,26,ok,gas,gas,118247
C127184,27,ok,gas,gas,235510
C127184,28,ok,gas,gas,469664
C127184,29,end,,,0
C76120,0,ok,gas,gas,4031
C76120,1,ok,gas,GAS,32420
C76120,2,ok,gas,GAS,21973
C76120,3,end,,,0
C76119,0,ok,condensed,"SOLUTION (10% CCl4 FOR 5000-1330, 10% CS2 FOR 1330-625 CM^-^1)",19209
C76028,0,ok,condensed,"SOLUTION (10% CCl4 FOR 2.5-7.5, 10% CS2 FOR 7.5-16 MICRON)",19504
C76028,1,end,,,0
C354563,0,ok,condensed,"SOLUTION (10% CCl4 FOR 5000-1330, 10% CS2 FOR 1330-625 CM^-^1)",19072
C354563,1,end,,,0
C67721,0,ok,gas,gas,3207
C67721,1,end,,,0
C76153,0,ok,gas,gas,4004
C76153,1,end,,,0
C2923184,0,ok,unknown,,610
C2923184,1,end,,,0
C116143,0,ok,gas,gas,4241
C116143,1,ok,gas,"GAS (50 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32346
C76164,0,ok,gas,gas,3926
C76164,1,ok,gas,gas,30013
C76164,2,ok,gas,gas,58806
C76164,3,ok,gas,gas,116258
C76164,4,ok,gas,gas,230772
C76164,5,ok,gas,gas,459741
C74862,0,ok,gas,gas,4021
C74862,1,ok,gas,GAS (50 mmHg DILUTED TO A TOTAL PRESSURE OF 600 mmHg WITH N2),34246
C74862,2,end,,,0
C540498,0,ok,gas,gas,4236
C540498,1,end,,,0
C593920,0,ok,gas,"GAS (50 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32269
C593920,1,end,,,0
C683681,0,ok,gas,gas,4167
C683681,1,ok,condensed,"SOLUTION (10% CCl4 FOR 2.5-7.5, 10% CS2 FOR 7.5-16 MICRONS)",19497
C75810,0,ok,condensed,"SOLUTION (10% IN CCl4 FOR 3800-1333, AND 10% IN CS2 FOR 1333-440 CM^-^1)",37260
C75810,1,end,,,0
C598210,0,ok,gas,gas,4513
C598210,1,ok,condensed,"SOLUTION (2% IN CCl4 FOR 3800-1330, 2% IN CS2 FOR 1330-400 CM^-^1)",34250
C598210,2,end,,,0
C631641,0,ok,gas,gas,13919
C631641,1,ok,unknown,,604
C631641,2,end,,,0
C79276,0,ok,gas,gas,4130
C79276,1,ok,condensed,"SOLUTION (10% CCl4 FOR 3800-1330, 10% CS2 FOR 1330-450)",32532
C79276,2,end,,,0
C17759852,0,ok,gas,GAS (10 mmHg DILUTED TO A TOTAL PRESSURE OF 600 mmHg WITH N2),37447
C17759852,1,ok,gas,"GAS (10 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",25342
C22118098,0,ok,condensed,"SOLUTION (10% CCl4 FOR 3800-1340, 10% CS2 FOR 1340-400 CM^-^1)",33206
C22118098,1,end,,,0
C75354,0,ok,gas,gas,3850
C75354,1,ok,gas,"GAS (100 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32280
C75354,2,ok,unknown,TRANSMISSION,13010
C75354,3,ok,gas,gas,30529
C75354,4,ok,gas,gas,58642
C75354,5,ok,gas,gas,111190
C75354,6,ok,gas,gas,222715
C75354,7,ok,gas,gas,429670
C75354,8,ok,gas,gas,30682
C156592,0,ok,gas,gas,3773
C156592,1,ok,gas,"GAS (100 mmHg, N2 ADDED, TOTAL PRESSURE 600 mmHg)",32956
C156592,2,ok,unknown,TRANSMISSION,13032
C156592,3,end,,,0
C156605,0,ok,gas,gas,4009
C1649087,0,ok,condensed,SOLUTION (10% IN CCl4 FOR 3800-1340 AND 10% IN CS2 FOR 1340-450 CM^-^1),37266
C1649087,1,end,,,0
C471432,0,ok,condensed,"SOLUTION (10% CCl4 FOR 2.5-7.5, 10% CS2 FOR 7.5-16 MICRONS)",19547
C471432,1,end,,,0
C79049,0,ok,gas,gas,4302
C79049,1,ok,unknown,,605
C79049,2,end,,,0
C79436,0,ok,gas,gas,4507
C79436,1,end,,,0
C13639162,0,ok,unknown,TRANSMISSION,18640
C13639162,1,end,,,0
C359284,0,ok,condensed,"SOLUTION (10% CCl4 FOR 2.5-7.5, 10% CS2 FOR 7.5-16 MICRONS)",19639
C359284,1,end,,,0
C594650,0,ok,condensed,SOLID (MINERAL OIL MULL),19675
C594650,1,end,,,0
C79345,0,ok,gas,gas,4008
C79345,1,ok,condensed,LIQUID (NEAT),34877
C79345,2,ok,condensed,"SOLUTION (10% IN CCl4 FOR 3800-1330, 10% IN CS2 FOR 1330-450 CM^-^1)",34603
C79345,3,end,,,0
C630206,0,ok,gas,gas,14633
C630206,1,ok,condensed,NEAT,32054
C354289,0,ok,gas,gas,13379
C354289,1,end,,,0
C107142,0,ok,condensed,LIQUID (NEAT),36172
C107142,1,end,,,0
C3268799,0,ok,gas,gas,3889
C3268799,1,end,,,0
C75387,0,ok,gas,gas,4828
